locality,bhk,price_lakhs,area_sqft,furnishing_status,facing,status,floor,parking,bathroom,city,price_per_sqft,price_segment,affordability_score
Nalasopara,2,41.12,1066.0,Furnished,East,Ready to Move,26,2,2,Mumbai,3857.41,Affordable (<50L),97.8
Goregaon West,3,139.05,943.0,Unfurnished,West,Ready to Move,2,1,2,Mumbai,14745.49,Premium (1-2Cr),91.2
Panvel,1,21.15,734.0,Furnished,East,Ready to Move,27,2,2,Mumbai,2881.47,Affordable (<50L),99.2
Lower Parel,2,251.79,1192.0,Furnished,North,Ready to Move,19,2,3,Mumbai,21123.32,Luxury (2Cr+),83.7
Malad West,3,85.37,1462.0,Semi-Furnished,West,Under Construction,9,1,3,Mumbai,5839.26,Mid-Range (50-100L),94.8
Andheri East,2,90.75,1042.0,Furnished,South,Ready to Move,3,1,1,Mumbai,8709.21,Mid-Range (50-100L),94.5
Mira Road,1,31.9,659.0,Semi-Furnished,West,Under Construction,4,1,3,Mumbai,4840.67,Affordable (<50L),98.4
Thane East,5,150.72,1525.0,Semi-Furnished,North,Under Construction,15,1,3,Mumbai,9883.28,Premium (1-2Cr),90.4
Dahisar,2,55.05,836.0,Furnished,South,Under Construction,25,0,1,Mumbai,6584.93,Mid-Range (50-100L),96.9
Kurla,1,26.53,698.0,Furnished,South,Under Construction,24,2,2,Mumbai,3800.86,Affordable (<50L),98.8
Thane West,3,127.24,1351.0,Furnished,West,Ready to Move,26,0,3,Mumbai,9418.21,Premium (1-2Cr),92.0
Kandivali West,4,182.54,1265.0,Unfurnished,North,Under Construction,24,0,2,Mumbai,14430.04,Premium (1-2Cr),88.3
Dahisar,3,119.21,1157.0,Furnished,North,Under Construction,3,0,3,Mumbai,10303.37,Premium (1-2Cr),92.6
Parel,3,454.23,1171.0,Furnished,North,Ready to Move,26,1,3,Mumbai,38789.92,Luxury (2Cr+),70.0
Powai,2,100.84,1018.0,Furnished,South,Under Construction,5,2,3,Mumbai,9905.7,Premium (1-2Cr),93.8
Mulund West,2,125.77,999.0,Unfurnished,West,Under Construction,2,1,3,Mumbai,12589.59,Premium (1-2Cr),92.1
Borivali East,2,89.09,970.0,Semi-Furnished,North,Under Construction,25,2,1,Mumbai,9184.54,Mid-Range (50-100L),94.6
Andheri West,4,315.45,1000.0,Furnished,East,Ready to Move,7,1,2,Mumbai,31545.0,Luxury (2Cr+),79.4
Malad West,2,103.78,835.0,Unfurnished,North,Under Construction,24,0,3,Mumbai,12428.74,Premium (1-2Cr),93.6
Goregaon East,3,146.65,1046.0,Furnished,South,Ready to Move,27,0,2,Mumbai,14020.08,Premium (1-2Cr),90.7
Andheri East,3,101.5,1074.0,Furnished,North,Under Construction,2,0,3,Mumbai,9450.65,Premium (1-2Cr),93.8
Parel,3,290.8,1287.0,Unfurnished,South,Ready to Move,17,2,3,Mumbai,22595.18,Luxury (2Cr+),81.0
Kalyan,3,53.1,1381.0,Furnished,East,Under Construction,27,1,3,Mumbai,3845.04,Mid-Range (50-100L),97.0
Bandra West,2,281.49,810.0,Semi-Furnished,North,Ready to Move,19,2,3,Mumbai,34751.85,Luxury (2Cr+),81.7
Dombivli,3,56.88,1459.0,Furnished,North,Under Construction,25,0,2,Mumbai,3898.56,Mid-Range (50-100L),96.8
Nerul,5,159.98,1777.0,Semi-Furnished,South,Ready to Move,20,0,2,Mumbai,9002.81,Premium (1-2Cr),89.8
Andheri West,2,188.05,1017.0,Furnished,East,Ready to Move,19,2,3,Mumbai,18490.66,Premium (1-2Cr),87.9
Vashi,3,170.57,1267.0,Unfurnished,East,Under Construction,4,1,3,Mumbai,13462.51,Premium (1-2Cr),89.1
Ulhasnagar,4,63.85,1004.0,Semi-Furnished,West,Under Construction,22,2,3,Mumbai,6359.56,Mid-Range (50-100L),96.3
Mira Road,1,16.43,723.0,Unfurnished,North,Ready to Move,1,2,2,Mumbai,2272.48,Affordable (<50L),99.5
Airoli,3,78.78,1233.0,Semi-Furnished,East,Ready to Move,22,2,2,Mumbai,6389.29,Mid-Range (50-100L),95.3
Kalyan,2,38.79,988.0,Furnished,East,Under Construction,29,2,3,Mumbai,3926.11,Affordable (<50L),98.0
Ulhasnagar,1,8.52,898.0,Semi-Furnished,East,Under Construction,21,1,2,Mumbai,948.78,Affordable (<50L),100.0
Vasai,3,44.88,1209.0,Unfurnished,North,Under Construction,1,2,3,Mumbai,3712.16,Affordable (<50L),97.6
Panvel,3,60.93,1165.0,Semi-Furnished,East,Under Construction,22,1,2,Mumbai,5230.04,Mid-Range (50-100L),96.5
Dahisar,3,69.36,1286.0,Unfurnished,West,Ready to Move,27,1,2,Mumbai,5393.47,Mid-Range (50-100L),95.9
Parel,1,159.41,598.0,Semi-Furnished,South,Ready to Move,29,1,2,Mumbai,26657.19,Premium (1-2Cr),89.9
Ulhasnagar,1,18.4,870.0,Semi-Furnished,North,Ready to Move,4,0,3,Mumbai,2114.94,Affordable (<50L),99.3
Andheri West,3,246.35,1367.0,Unfurnished,North,Ready to Move,28,1,2,Mumbai,18021.21,Luxury (2Cr+),84.0
Ghatkopar East,3,151.59,1063.0,Semi-Furnished,North,Under Construction,29,1,2,Mumbai,14260.58,Premium (1-2Cr),90.4
Airoli,1,20.93,838.0,Semi-Furnished,North,Under Construction,5,0,3,Mumbai,2497.61,Affordable (<50L),99.2
Borivali West,3,79.3,884.0,Semi-Furnished,North,Ready to Move,23,0,2,Mumbai,8970.59,Mid-Range (50-100L),95.2
Chembur,2,132.39,835.0,Semi-Furnished,North,Under Construction,5,1,3,Mumbai,15855.09,Premium (1-2Cr),91.7
Nerul,4,181.37,1047.0,Semi-Furnished,East,Ready to Move,2,1,1,Mumbai,17322.83,Premium (1-2Cr),88.4
Dahisar,2,67.28,958.0,Unfurnished,East,Under Construction,29,2,2,Mumbai,7022.96,Mid-Range (50-100L),96.1
Goregaon East,5,214.75,1870.0,Furnished,East,Under Construction,28,0,1,Mumbai,11483.96,Luxury (2Cr+),86.1
Chembur,2,79.08,709.0,Semi-Furnished,South,Ready to Move,7,0,3,Mumbai,11153.74,Mid-Range (50-100L),95.3
Nerul,5,215.46,1753.0,Semi-Furnished,South,Ready to Move,10,1,2,Mumbai,12290.93,Luxury (2Cr+),86.1
Ghatkopar East,1,45.69,789.0,Unfurnished,West,Ready to Move,28,2,3,Mumbai,5790.87,Affordable (<50L),97.5
Vashi,1,49.21,595.0,Furnished,North,Ready to Move,5,2,1,Mumbai,8270.59,Affordable (<50L),97.3
Dombivli,3,84.89,977.0,Furnished,South,Ready to Move,14,1,3,Mumbai,8688.84,Mid-Range (50-100L),94.9
Ulhasnagar,3,26.56,1057.0,Semi-Furnished,West,Under Construction,2,2,1,Mumbai,2512.77,Affordable (<50L),98.8
Kandivali West,2,95.65,874.0,Unfurnished,East,Under Construction,4,0,3,Mumbai,10943.94,Mid-Range (50-100L),94.1
Mira Road,5,130.82,1690.0,Unfurnished,East,Ready to Move,16,1,1,Mumbai,7740.83,Premium (1-2Cr),91.8
Nalasopara,3,58.15,1215.0,Furnished,North,Ready to Move,23,0,2,Mumbai,4786.01,Mid-Range (50-100L),96.7
Chembur,1,54.98,724.0,Furnished,West,Ready to Move,27,2,1,Mumbai,7593.92,Mid-Range (50-100L),96.9
Mira Road,4,145.33,1284.0,Semi-Furnished,North,Under Construction,20,2,2,Mumbai,11318.54,Premium (1-2Cr),90.8
Mulund East,2,54.14,1001.0,Unfurnished,East,Under Construction,21,2,1,Mumbai,5408.59,Mid-Range (50-100L),96.9
Nalasopara,2,28.29,729.0,Unfurnished,West,Ready to Move,3,2,3,Mumbai,3880.66,Affordable (<50L),98.7
Goregaon West,1,73.65,791.0,Semi-Furnished,South,Ready to Move,29,1,3,Mumbai,9311.0,Mid-Range (50-100L),95.6
Dahisar,5,138.59,1997.0,Semi-Furnished,East,Ready to Move,5,1,2,Mumbai,6939.91,Premium (1-2Cr),91.3
Kandivali East,1,46.65,633.0,Unfurnished,East,Ready to Move,4,1,3,Mumbai,7369.67,Affordable (<50L),97.4
Ghatkopar West,2,122.17,979.0,Unfurnished,West,Under Construction,19,2,2,Mumbai,12479.06,Premium (1-2Cr),92.4
Powai,1,84.09,570.0,Furnished,North,Ready to Move,7,0,2,Mumbai,14752.63,Mid-Range (50-100L),94.9
Powai,4,307.46,1229.0,Furnished,West,Ready to Move,6,1,3,Mumbai,25017.09,Luxury (2Cr+),79.9
Ghatkopar East,2,55.17,1162.0,Furnished,South,Ready to Move,19,0,2,Mumbai,4747.85,Mid-Range (50-100L),96.9
Vikhroli,1,43.45,755.0,Unfurnished,East,Ready to Move,12,1,3,Mumbai,5754.97,Affordable (<50L),97.7
Vashi,2,76.53,794.0,Semi-Furnished,South,Under Construction,28,1,3,Mumbai,9638.54,Mid-Range (50-100L),95.4
Lower Parel,2,393.85,1193.0,Semi-Furnished,North,Ready to Move,9,0,3,Mumbai,33013.41,Luxury (2Cr+),74.1
Kharghar,2,80.42,1175.0,Furnished,North,Ready to Move,2,1,2,Mumbai,6844.26,Mid-Range (50-100L),95.2
Borivali West,3,107.16,1355.0,Semi-Furnished,South,Ready to Move,17,2,3,Mumbai,7908.49,Premium (1-2Cr),93.4
Parel,4,687.6,1674.0,Furnished,East,Under Construction,9,2,1,Mumbai,41075.27,Luxury (2Cr+),54.4
Panvel,3,102.96,1378.0,Unfurnished,East,Under Construction,3,0,3,Mumbai,7471.7,Premium (1-2Cr),93.7
Vasai,5,113.72,1385.0,Semi-Furnished,East,Under Construction,1,2,3,Mumbai,8210.83,Premium (1-2Cr),92.9
Powai,2,131.21,1036.0,Semi-Furnished,South,Ready to Move,8,2,2,Mumbai,12665.06,Premium (1-2Cr),91.8
Kalyan,3,71.37,1188.0,Furnished,West,Under Construction,5,1,2,Mumbai,6007.58,Mid-Range (50-100L),95.8
Thane West,3,129.43,1253.0,Semi-Furnished,North,Ready to Move,7,1,3,Mumbai,10329.61,Premium (1-2Cr),91.9
Kalyan,3,63.34,1264.0,Unfurnished,North,Ready to Move,2,0,1,Mumbai,5011.08,Mid-Range (50-100L),96.3
Vashi,3,142.12,1303.0,Furnished,South,Under Construction,24,0,2,Mumbai,10907.14,Premium (1-2Cr),91.0
Thane West,2,69.71,1190.0,Furnished,West,Ready to Move,11,2,2,Mumbai,5857.98,Mid-Range (50-100L),95.9
Nerul,3,126.38,1110.0,Furnished,North,Under Construction,3,2,3,Mumbai,11385.59,Premium (1-2Cr),92.1
Ghatkopar East,1,47.97,628.0,Furnished,East,Under Construction,28,1,3,Mumbai,7638.54,Affordable (<50L),97.3
Airoli,2,67.44,967.0,Semi-Furnished,West,Under Construction,17,1,2,Mumbai,6974.15,Mid-Range (50-100L),96.0
